url	source_name	name	form	rig
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20(Yaxi)%20R3.txt	Sony MDR-V6 (pads: Yaxi)	Sony MDR-V6 (Yaxi earpads)	over-ear	KB006x + 711
https://superreview.squig.link/data/Sony%20MH1%20L.txt	Sony MH1	Sony MH1	in-ear	711
https://superreview.squig.link/data/Sony%20MH1%20R.txt	Sony MH1	Sony MH1	in-ear	711
https://superreview.squig.link/data/Sony%20MH755%20L.txt	Sony MH755 (sample 1)	Sony MH755	in-ear	711
https://superreview.squig.link/data/Sony%20MH755%20(S2)%20L.txt	Sony MH755 (sample 2)	Sony MH755	in-ear	711
https://superreview.squig.link/data/Sony%20MH755%20(S3)%20L.txt	Sony MH755 (sample 3)	Sony MH755	in-ear	711
https://superreview.squig.link/data/Sony%20MH755%20clone%20L.txt	Sony MH755 (fake)	Sony MH755 (fake)	ignore	
https://superreview.squig.link/data/Sony%20MH755%20(vent%20Blu%20Tack)%20L.txt	Sony MH755 (sample 1, vent blocked: Blu Tack)	Sony MH755 (sample 1, vent blocked: Blu Tack)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM3%20L.txt	Sony WF-1000XM3	Sony WF-1000XM3	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(ANC%20off)%20L.txt		Sony WF-1000XM4 (ANC off)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(ANC%20on)%20L.txt		Sony WF-1000XM4 (ANC on)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(Sedna%20Light%20Short)%20L.txt		Sony WF-1000XM4 (AZLA Sedna Light Short eartips)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20bass%20boost)%20L.txt	Sony WF-1000XM4 (EQ: bass boost)	Sony WF-1000XM4 (Bass Boost preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20bright)%20L.txt	Sony WF-1000XM4 (EQ: bright)	Sony WF-1000XM4 (Bright preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20L.txt	Sony WF-1000XM4 (EQ: off)	Sony WF-1000XM4 (EQ off)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20custom)%20L.txt	Sony WF-1000XM4 (EQ: custom)	Sony WF-1000XM4 (EQ: custom)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20excited)%20L.txt	Sony WF-1000XM4 (EQ: excited)	Sony WF-1000XM4 (Excited preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(Final%20E-type)%20L.txt		Sony WF-1000XM4 (Final Audio Type E eartips)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(MRS%20config)%20L.txt		Sony WF-1000XM4 (MRS config)	ignore	
